item,title,year,genres,plot
538,six degrees of separation,1993,Drama,"Fifth Avenue socialite Ouisa Kittredge (Stockard Channing) and her art dealer husband Flan (Donald Sutherland) are parents of ""two at Harvard and a girl at Groton"". But the narrow world inhabited by the Kittredges and their public status as people interested in the arts make them easy prey for Paul (Will Smith). Paul, a skillful con-artist, mysteriously appears at their door one night, injured and bleeding, claiming to be a close college friend of their Ivy League kids, as well as the son of Sidney Poitier. Ouisa and Flan are much impressed by Paul's fine taste, keen wit, articulate literary expositions and surprising culinary skill. His appealing facade soon has the Kittredges putting him up, lending him money and taking satisfaction in his praise for their posh lifestyle. Paul's scheme continues until, after he brings home a hustler, his actual indigence is revealed. The shocked Kittredges kick him out when it is revealed that they are but the most recent victims of the duplicity with which Paul has charmed his way into many upper-crust homes along the Upper East Side. Paul's schemes become highbrow-legend, anecdotal accounts which are bantered about at their cocktail parties. In the end, Paul has a profound effect on the many individuals who encounter him, linking them in their shared experience."
539,sleepless in seattle,1993,Comedy|Drama|Romance,"After Chicago architect Sam Baldwin loses his wife Maggie to cancer, he and his eight-year-old son Jonah start a new life in Seattle, but they continue to grieve. A year and a half later, on Christmas Eve, Jonah calls in to a radio talk show. Jonah persuades a reluctant Sam to go on the air to talk about how much he misses Maggie. Hundreds of women from around the country who hear the program and are touched by the story, write to Sam. One of the listeners is Annie Reed, a Baltimore Sun reporter who is engaged to Walter but feels there is something missing from their relationship. After watching the film An Affair to Remember, Annie impulsively writes a letter suggesting that Sam meet her on top of the Empire State Building on Valentine's Day. She does not intend to mail it, but her friend and editor Becky does it for her and later agrees to send Annie to Seattle.
Sam begins dating a co-worker, Victoria, whom Jonah dislikes. Jonah reads Annie's letter and likes that it mentions the Baltimore Orioles, but he fails to convince his father to go to New York to meet Annie. On the advice of his playmate Jessica, Jonah replies to Annie, agreeing to the New York meeting. While dropping Victoria off at the airport for a flight, Sam sees Annie exiting from her plane and is mesmerized by her, although he has no idea who she is. Annie later secretly watches Sam and Jonah playing on the beach together. The next day she goes again to Sam's houseboat but mistakes Sam's sister for Victoria. He recognizes her from the airport and says ""hello"" but Annie only responds with another ""hello"" before fleeing. She returns to Baltimore and then goes to New York to meet Walter for Valentine's Day.
With Jessica's help, Jonah flies to New York and goes to the Empire State Building searching for Annie. When Sam discovers what Jonah did, he grabs a later plane and follows Jonah where he finds him on the observation deck. Meanwhile, Annie sees the skyscraper from the Rainbow Room where she is dining with Walter and confesses her doubts to him, amicably ending their engagement. She rushes to the Empire State Building just moments after the doors to the down elevator close with Sam and Jonah inside.
The observation deck is deserted, but Annie discovers a backpack that Jonah left behind. As she pulls out Jonah's teddy bear from the backpack, Sam and Jonah emerge from the elevator, and the three meet for the first time. Sam indicates they should go and offers his hand to Annie. The three then enter the elevator together and the doors close."
540,sliver,1993,Thriller,"Carly Norris (Sharon Stone), a sex-starved divorcee, moves into an exclusive New York residential building, not long after the previous tenant, Naomi Singer, falls to her death from her balcony. She immediately crosses paths with other tenants including the handsome Zeke (William Baldwin).
Carly and Zeke soon start meeting quite often; Carly eventually agrees to go to the gym with Zeke, who begins to turn her on by grabbing her hips while exercising. After hanging out for a while, they end up having sex and begin a sexual relationship. Carly is also being romantically pursued by Jack (Tom Berenger), a novelist who is another resident of her building.
Two of Carly's neighbors (Keene Curtis, Polly Walker) die under suspicious circumstances. As she discovers more about Zeke and Jack, she begins to distrust both and also uncovers shocking secrets about other people who live around her. Carly eventually finds out that Jack killed Naomi because of his jealousy of Zeke. It is revealed that Zeke knew that Jack was the killer, but chose to ignore it because it would expose his other secret: he has surveillance cameras allowing him to spy on every apartment, including hers.
Although she is both curious about and disturbed by the cameras, she sees footage of Zeke having sex with Naomi, as well as the murder of Naomi by Jack. Carly eventually destroys Zeke's surveillance room and his video monitors, telling him to ""get a life"" before leaving him and the building."
541,blade runner,1982,Action|Sci-Fi|Thriller,"In 2019 Los Angeles, former police officer Rick Deckard is detained by officer Gaff, and brought to his former supervisor, Bryant. Deckard, whose job as a ""blade runner"" was to track down bioengineered beings known as replicants and ""retire"" (kill) them, is informed that four are on Earth illegally. Deckard starts to leave, but Bryant ambiguously threatens him, and he stays. The two watch a video of a blade runner named Holden administering the ""Voigt-Kampff"" test, which is designed to distinguish replicants from humans based on their emotional response to questions. The test subject, Leon, shoots Holden on the second question. Bryant wants Deckard to retire Leon and the other three Tyrell Corporation Nexus-6 replicants: Roy Batty, Zhora, and Pris.
Bryant has Deckard meet with Eldon Tyrell so he can administer the test on a Nexus-6 to see if it works. Tyrell expresses his interest in seeing the test fail first and asks him to administer it on his assistant Rachael. After a much longer than standard test, Deckard concludes that Rachael is a replicant who believes she is human. Tyrell explains that she is an experiment who has been given false memories to provide an emotional ""cushion.""
Searching Leon's hotel room, Deckard finds photos and a synthetic snake scale. Roy and Leon investigate a replicant eye-manufacturing laboratory and learn of J. F. Sebastian, a gifted genetic designer who works closely with Tyrell. Deckard returns to his apartment where Rachael is waiting. She tries to prove her humanity by showing him a family photo, but after Deckard reveals that her memories are implants from Tyrell's niece, she leaves his apartment. Meanwhile, Pris locates Sebastian and manipulates him to gain his trust.
A photograph from Leon's apartment and the snake scale lead Deckard to a strip club, where Zhora works. After a confrontation and chase, Deckard kills Zhora. Bryant orders him also to retire Rachael, who has disappeared from the Tyrell Corporation. After Deckard spots Rachael in a crowd, he is attacked by Leon, who knocks Deckard's pistol out of his hand, and attempts to kill Deckard, but Rachael uses Deckard's pistol to kill Leon. They return to Deckard's apartment, and, during an intimate discussion, he promises not to track her down; as she abruptly tries to leave, Deckard restrains her, making her kiss him.
Arriving at Sebastian's apartment, Roy tells Pris that the others are dead. Sympathetic to their plight, Sebastian reveals that because of ""Methuselah Syndrome"", a genetic premature aging disorder, his life will also be cut short. Sebastian and Roy gain entrance into Tyrell's secure penthouse, where Roy demands more life from his maker. Tyrell tells him that it is impossible. Roy confesses that he has done ""questionable things"", but Tyrell dismisses this, praising Roy's advanced design, and accomplishments in his short life. Roy kisses Tyrell, then kills him. Sebastian runs for the elevator, followed by Roy, who rides the elevator down alone.[nb 1] Deckard is later told by Bryant that Sebastian was found dead.
At Sebastian's apartment, Deckard is ambushed by Pris, but he kills her as Roy returns. Roy's body begins to fail as the end of his lifespan nears. He chases Deckard through the building, ending on the roof. Deckard tries to jump to an adjacent roof, but is left hanging between buildings. Roy makes the jump with ease, and as Deckard's grip loosens, Roy hoists him onto the roof, saving him. Before Roy dies, he delivers a monologue about how his memories ""will be lost in time, like tears in rain"". Gaff arrives and shouts to Deckard about Rachael: ""It's too bad she won't live, but then again, who does?"" Deckard returns to his apartment and finds Rachael asleep in his bed. As they leave, Deckard notices an origami unicorn on the floor, a calling card that recalls for him Gaff's earlier statement. Deckard and Rachael leave the apartment block."
542,son in law,1993,Comedy|Drama|Romance,"Rebecca Warner moves from her small farm town in South Dakota to attend college in Los Angeles at California State University, Northridge. On her first day, she and her parents Walter and Connie meet Crawl; the resident advisor of Becca's coed dormitory. After they leave, the clash of cultures drives Becca into seriously considering returning home, but Crawl advises her to give it a chance and she soon begins to acclimate; cutting and dyeing her hair, dressing in a more Californian manner, and even getting a tattoo of a butterfly on her ankle. When Thanksgiving break approaches, Becca realizes that Crawl has nowhere to go, and she invites him to visit her family.
Shocked by her changes, the Warners and Becca's boyfriend Travis try to take it in stride and decide to put up with Crawl, who had gotten off on the wrong foot with Walter, Becca's father, when he dropped her off at college. At dinner, Becca realizes that Travis wants to propose marriage to her and she urges Crawl to speak. Unable to come up with anything off the cuff, Crawl tells them that he has already proposed and she had accepted. This upsets Becca's family who develops a disdain for Crawl, and Travis who becomes so jealous he punches Crawl in the face. Now acting as a future son-in-law, Crawl expresses an interest in farming, much to the amusement of Walter and his farmhand Theo, who send him through the pratfalls and tribulations of farming as he is tasked with daily chores. Crawl rebounds though, and begins to prove himself an avid farmer, quickly learning how to perform each task he's given. He also begins to endear himself to the rest of the family; he impresses Becca's little brother Zack with his computer skills, and Zack begins to see him as a big brother. He compliments Connie's appearance and helps to bring her out of her shell for Walter. And when Walter's father Walter Sr. has heart problems, Crawl tries to help by performing CPR. Walter Senior quickly recovers when he see Crawl atop him, but Walter Junior says Crawl has earned his trust for aiding his father.
While shopping for clothes, Crawl meets Tracy; a friend of Becca's from school. Travis apologizes to Crawl for hitting him and says he is the better man for Rebecca, inviting Crawl to a bachelor party he has Tracy come and dance for Crawl and the next morning, Becca finds the two of them waking up in the barn. Rebecca furiously calls off the wedding, but Crawl and Tracy can't defend themselves as they cannot remember the night before. Crawl leaves to head back to L.A. while Travis--who had been seeing Tracy on the side--berates her on her behavior the night before. When she gets in her car though, she finds the seat suspiciously left all the way back and discovers a bottle of pills under it. Picking up Crawl attempting to hitchhike, they return to the house and confront Travis and Theo while the Warners are sitting down to Thanksgiving dinner. Hoping to get out of trouble, Theo confesses that they drugged them and he set them up in the barn. Walter immediately fires Theo. Becca stands up to Travis, who is immediately knocked down by Crawl who reveals he majored in karate for two semesters at school. After kicking Travis and Theo out, Tracy is invited to sit with the Warners while Walter offers his son-in-law a chance to cut the turkey. Becca tries to interject the truth about Crawl's proposal, but he stops her, saying they hadn't yet decided on a wedding date and they want to wait a little bit before making the decision; hinting he intends to legitimately propose to Rebecca, and having a proper relationship the Warners will respect."
543,so i married an axe murderer,1993,Comedy|Romance|Thriller,"Charlie MacKenzie (Myers) is a beat poet living in San Francisco, after having broken up with yet another woman based on paranoid perception. His friend Tony, a policeman, points out that Charlie simply is afraid of commitment and tries to think of or invent any reason to break up with someone.
Charlie encounters a butcher named Harriet, and the two quickly find common bonds between them. They start to date, and Charlie learns she used to live in Atlantic City, had been involved with a trainer in Russian martial arts, and screams for someone named Ralph in her sleep. After staying at her place one night, Charlie meets Harriet's eccentric sister, Rose, who warns Charlie to be careful. As they continue to see each other, Charlie and Harriet fall in love. He arranges a dinner with her to meet his parents, Stuart and May, who both believe in conspiracy theories and get their news from the Weekly World News tabloid. While there, Charlie spots one paper that describes a story about a ""Mrs. X"", a bride who kills her husbands on their honeymoons using an axe and matches all the mannerism that Harriet has thus far shown.
Charlie becomes paranoid and asks Tony to investigate Harriet and the Mrs. X story. Tony reveals that the husbands of Mrs. X were all reported missing alongside their wives, assuring that Harriet is unlikely to be Mrs. X. Charlie remains on edge, and after a few more troubled dates, decides to break up with her. Tony later reports that a killer in the Mrs. X story has confessed. Relieved, Charlie apologizes to Harriet by reciting one of his beat poems to her from his rooftop. They make up, and Harriet explains away some of the confusion Charlie had from her history, such as Ralph being the name of a woman she knew.
Some time later, Charlie proposes to Harriet, which she reluctantly accepts after some hesitation. Following the wedding ceremony, they embark on a honeymoon to a secluded mountain hotel. After they depart, Tony learns that the confessed killer is actually a compulsive liar. He sends a photo of Harriet to the known associates of the missing husbands, and all report back that she was their friends' wife. With phone lines to the hotel down due to a storm, Tony charters a plane. Once he lands, he is able to call Charlie locally and warn him that Harriet is really Mrs. X, but the hotel phone line is knocked out and power is lost.
Charlie is panicked and tries to stay away from Harriet without letting her know what he knows, but the hotel staff force him into the honeymoon suite for their first night together. Charlie finds himself alone and discovers a ""Dear Jane"" letter, purportedly written by him, explaining his absence to Harriet. Suddenly, Rose appears wielding an axe. Rose tells Charlie he was not supposed to find the letter, and reveals herself as the Mrs. X killer - she feels that Harriet's husbands are taking her sister from her, and so killed them on their honeymoon night, leading Harriet to believe that each husband simply left her. Charlie is then trapped in a game of cat-and-mouse, staying away from Rose while waiting for the police to arrive.
Tony leads the police into the hotel but arrests Harriet, still believing her to be the murderer. Having chased Charlie to the hotel roof, Rose swings the axe at Charlie and is thrown off the building, with only Charlie holding her up from falling to her death. Tony comes to catch her fall, where she is arrested and taken away. Charlie and Harriet resume their lives afterward as a happy couple."
544,striking distance,1993,Action|Crime,"Thomas Hardy, a Pittsburgh Police homicide detective, has broken the ranks by informing on his partner and cousin, Jimmy Detillo, for using excessive force. On route to the Policemen's Ball with his father, Vincent Hardy, the ball is postponed after a call indicating a serial killer nicknamed the Polish Hill Strangler has been spotted. As Tom and Vince pursue the killer's vehicle, the vehicles collide and both roll down an embankment. When Tom regains consciousness, he learns his father has been shot dead and the killer has escaped. Police arrest a criminal named Douglas Kesser as the Strangler. Later, rather than go to prison, Jimmy climbs to the top of the 31st Street Bridge and jumps off. His body is never found.
Two years later, Tom is drinking heavily and has been reassigned to the River Rescue Squad. His cousin Danny, Jimmy's brother, has stepped down from the force and also drinks heavily. Called to the scene of a body dump, Tom finds the victim is an ex-girlfriend. Tom is assigned a new partner, Jo Christman, who learns from District Attorney Frank Morris that Tom had been demoted after telling a television reporter that he believed the Polish Hill Strangler was a policeman.
A nurse is abducted. Tom receives a phone call similar to ones left by the Polish Hill Strangler: the nurse screams before she is shot and the phone goes dead. Detective Eddie Eiler, who hates Tom for turning in Jimmy, states on TV the murder was committed by a copycat. Tom is met with strong opposition by his uncle, Captain Nick Detillo, after suggesting the Strangler is back. Tom goes to the precinct and steals the Strangler file in order to conduct an unauthorized investigation. Soon after, the body of another of Tom's ex-girlfriends is found.
Tom is invited to the Policemen's Ball by Jo as she is not familiar with any other officers there. Despite understanding that he won't be very welcome, which he initially isn't, Tom goes and accompanies Jo. Tom and Jo then join the Hardys (who represent a large portion of the officers present). Nick and Danny arrive and Danny is already drunk. Danny has an outburst while a toast is being proposed to Vince and a fight ensues between Tom and Eddie. Jo takes Tom home and after in initial fit from Tom the two partners kiss and then proceed to have sex while being observed by an unseen person.
The next night on patrol, Tom and Jo stumble upon the scene of someone dumping what appears to be a wrapped body off a bridge. Tom destroys the suspect's car but the unidentified individual escapes. Divers retrieve the body only to find it to be merely a bunch of rugs, which leads to Tom and Jo being humiliated by their peers.
While Jo stumbles upon Tom's investigation notes of the Stangler, Eiler informs Nick he suspects Tom. Nick discloses Tom has been under scrutiny by Internal Affairs. During a court hearing to have Tom removed from the force, it is revealed Jo is really Emily Harper of the Pennsylvania State Police, who has been monitoring Tom to find evidence of misconduct. Harper perjures herself and Tom goes unpunished.
Emily is kidnapped from her apartment just as Tom finds the body of another female victim, a police dispatcher he knows, outside his boathouse. Thinking that Danny is the killer & angry about Jimmy's death, Tom heads upriver to the Detillo family cabin. Just as Danny arrives, someone from behind knocks Tom unconscious. Tom awakens to find himself, Danny, and Emily handcuffed to chairs, with the killer, who turns out to be none other than Jimmy, who survived the fall into the river two years earlier, standing in front of them. Jimmy is about to kill Emily when Nick suddenly walks in and he tells his son to turn himself in, but Jimmy is defiant and commands Nick to tell how Vince really died.
A flashback reveals Nick arrived on the scene immediately after Tom and the Strangler crashed their cars. He was horrified to find Jimmy and let him escape. Vince emerged from the wrecked car and took aim at the fleeing killer, unaware it was Jimmy. Nick tried to stop him and, in the ensuing struggle, accidentally killed Vince.
After this revelation, Jimmy takes aim at Nick, who shoots first. Jimmy is wearing a bulletproof vest and returns fire, killing his father. In a fit of rage, Danny charges at Jimmy, giving Tom a chance to free himself. As the police close in, Jimmy flees on a motorboat with Tom in pursuit. The two get into a scuffle in which Tom kills Jimmy by tasering him in the mouth. After Tom is escorted by a paramedic, an officer attempts to remove the handcuffs from Tom's wrists, but Eiler steps in to remove them, and apologizes. In the process, he offers Tom to punch him in the face, which Tom briefly declines and after a second of reluctance, he punches Eiler in the face. Afterwards, Tom and Emily embrace each other.
The movie ends with Tom, who has been reinstated as a detective, visiting his father's grave with Emily and her daughter at his side."
546,super mario bros.,1993,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,"About 65,000,000 years ago, a meteorite crashes into the Earth, killing the dinosaurs and splitting the universe into two parallel dimensions. The surviving dinosaurs cross into this new dimension and evolve into a humanoid race.
In the present, Italian American plumbers Mario and Luigi live in Brooklyn, New York. They are being driven out of business by the mafia-like Scapelli Construction Company led by Anthony Scapelli. Luigi falls in love with orphaned NYU student Daisy, who is digging under the Brooklyn Bridge for dinosaur bones. After a date, Daisy takes Luigi back to the bridge only to witness two of Scapelli's men sabotaging it by leaving the water pipes open. Unable to fix the flooding, Luigi and Daisy rush back to his apartment where they inform Mario about the incident. The trio returns to the flooding where the Mario Bros. manage to fix it but are knocked unconscious by Iggy and Spike, who proceed to capture Daisy.
Moments later, Mario and Luigi awaken and head deeper into the caves following Daisy's screams and discover an interdimensional portal allowing the Mario Bros. to follow Daisy. It turns out that Iggy and Spike are henchmen (and cousins) of the other world's germophobic and obsessive–compulsive dictator, King Koopa, who descended from the Tyrannosaurus Rex. Iggy and Spike realize they didn't bring Daisy's rock, a meteorite fragment which Koopa is trying to get in order to merge his world with the human world. It is then revealed that Daisy is the long-lost Princess of the other dimension. When Koopa overthrew Daisy's father (and devolved him into fungus), her mother took her to Brooklyn using the interdimensional portal. The portal was then closed, with Daisy's mother killed in the process, but Scapelli's men inadvertently reopened the portal when they blasted the cave. Upon hearing this, Koopa sends Spike and Iggy to find both Daisy and the rock to merge the dimensions and make him dictator of both worlds. However, after Koopa subjects them to one of his experiments to make them more intelligent, Spike and Iggy realize Koopa's evil intentions and side with the Mario Bros. in the desert. Daisy is taken to Koopa-Tower, where she meets a young Yoshi. Koopa informs Daisy that she descended from the dinosaurs, believing only Daisy can merge the worlds because of her royal heritage. Eventually, the Mario Bros. rescue Daisy with the help of Toad, a good-natured guitarist who was punished by Koopa for performing music that protests his reign (for which he is devolved into a Goomba).
Eventually, the two worlds merge and Koopa devolves Scapelli into a chimpanzee before going after Mario, but Luigi and Daisy manage to remove the fragment from the meteorite and the worlds separate again. In Dinohattan, Mario confronts Koopa and eventually defeats him when he and Luigi fire their devolution guns at Koopa and blast him with a Bob-omb. Koopa, now transformed into a ferocious, semi-humanoid Tyrannosaurus attempts to kill the Mario Bros., but they destroy him once and for all by transforming him into an actual T. rex, which is too intense for him to live through and instead turns him into primeval slime. With Daisy's father restored after Koopa's defeat, he reclaims control over the kingdom. The citizens celebrate and immediately destroy anything under Koopa's influence. Luigi professes his love for Daisy and wants her to come to Brooklyn with him, but Daisy cannot come until the damage caused by Koopa is repaired and thus, she wants to spend more time with her father. Heartbroken, Luigi kisses Daisy goodbye as he and Mario return home to Brooklyn, with Daisy watching them leave. Three weeks later, the Mario Bros. are getting ready for dinner when their story comes on the news and the anchorman says they should be called the ""Super Mario Bros."" Daisy then arrives and asks the Mario Bros. to help her and says, ""You're never gonna believe this!""
In a post-credits scene, two Japanese business executives propose making a video game based on Iggy and Spike, who decide on the title The Super Koopa Cousins."
547,surviving the game,1994,Action|Adventure|Thriller,"Jack Mason is a homeless man from Seattle who loses his only friends—Hank, a fellow homeless man and his pet dog—on the same day. Dejected, Mason attempts to commit suicide when a soup kitchen worker, Walter Cole, saves him. Cole refers the man to businessman Thomas Burns, who kindly offers Mason a job as a hunting guide. Despite his misgivings, the lure of a well paying job causes Mason to accept.
Flying to a remote cabin surrounded by hundreds of acres of woods, Mason meets the rest of the hunting party, all of whom paid $50,000 for the privilege of being there. The party includes Doc Hawkins, the founder of the hunt, a psychotic psychiatrist who specializes in psychological assessments, Cole, Texas ""oil man"" John Griffin, wealthy executive Derek Wolfe Sr. and his son Derek Wolfe Jr., who is at first unaware of the true purposes of the hunt. The first night all the men are eating a nice dinner and engaging in conversation. Mason receives a pack of cigarettes from Hawkins and learns a little history about the man. Hawkins relays a brutal story from his childhood when his father forced him to train and then fight his dog as a lesson in being a man.
The following morning Mason is awakened with a gun in his face by Cole, who explains that the men are not hunting any animals, but rather Mason himself. Mason is given a head start with only the time it takes the others to eat breakfast. Mason quickly flees the area, but comes to a realization and turns back. The hunters finish their meal and set off after him. Wolfe Jr. is horrified at the thought of killing a man, but is pushed into it by his father. The hunters race off into the forest, but by now Mason has returned to the cabin in search of weapons. He finds none, and instead makes the disgusting discovery of the hunters trophy room behind a locked door: the preserved heads of the victims of previous hunts.
Mason decides to burn it down using chemicals found outside the cabin. The hunters quickly assume Mason's return to the cabin and go back. Wolfe Sr. enters just as Mason lights up the cabin and engages in a fist fight with Hawkins out back, away from the others. Hawkins is knocked back into the cabin as the preserving agent explodes, killing him in a fiery inferno. Wolfe Jr. saves his father, and spots Mason fleeing in the process. The hunt resumes and Mason begins to use his wits to beat the hunters, luring them with falsely-planted lit cigarettes to lead them in the wrong way. Mason manages to lure Griffin away from the others, and takes him hostage.
Over the night, Mason learns why Griffin is taking part in the hunt. Years earlier his daughter was murdered by a homeless man and he's venting his rage. Mason, in turn, relays his own tragic tale of losing his family in an apartment fire. This leads Griffin to have a change of heart in the morning. Upon rescuing him, Griffin reveals his decision to not continue the hunting, but is murdered by Burns to prevent any future legal conflicts. By now, with their numbers dwindling, the remaining hunters seem more intent on killing Mason. Mason sabotages one of their ATVs, causing it to explode. The explosion rips off most of Cole's lower body mortally wounding him. Burns then uses his fingers to apply pressure to Cole's jugulars in order to kill him and spare him from the pain. As they pursue Mason, Wolfe Jr. is killed by accident when he falls in a ravine, and Wolfe Sr. vows revenge in a fit of rage.
The second night sees Wolfe Sr. and Mason fighting one on one with Mason the victor and Burns escaping to the city knowing that Mason will most likely be searching for him. Days later, Burns is back in Seattle, Washington, preparing to leave his current identity, hoping to escape both Mason and the legal responsibilities resulting from the disastrous hunt. But Mason has escaped the forest, returned to the city and tracked him down. A quick fight ensues, but Mason chooses not to kill him. Instead he walks away, but Burns attempts to shoot Mason in the back. Taking to heart a lesson he learned from Hank, Mason had blocked the barrel of Burns's gun with cigarettes and it backfires on the man, killing him as Mason walks out into the dark."
550,threesome,1994,Comedy|Romance,"Due to an administrative error two male college students, the shy and intellectual Eddy (Josh Charles) and the All-American jock Stuart (Stephen Baldwin), end up with a female roommate. The university thought that Alex (Lara Flynn Boyle) was a man (based on her name) and thus the three students are forced to live with each other until the university can move Alex to a female residence hall.
Alex falls in love and tries unsuccessfully to seduce Eddy (who is gay); Eddy falls in love with Stuart; and Stuart is in love with Alex. The trio become good friends and scare off anyone who tries to seduce the other. Eventually, Alex, Stuart and Eddy agree to have an actual threesome that seems to destroy the friendship, and raises the possibility that Alex might have become pregnant.
After the threesome, they start to drift apart. Three weeks later the semester ends; Alex moves to an apartment, and Eddy gets a single dorm. Eddy (who acts as the film's narrator) eventually finds a boyfriend, Stuart finds happiness in a monogamous relationship with a woman, and Alex remains single. While they now only see each other for lunch occasionally, they do not seem to regret the friendship they had while in college."
553,tombstone,1993,Action|Drama|Western,"In 1879, members of the outlaw gang known as the Cowboys, led by ""Curly Bill"" Brocius, ride into a Mexican town and interrupt a local police officer's wedding. They then proceed to massacre the assembled policemen in retribution for killing two of their fellow gang members. Shortly before being shot, a local priest warns them that their acts of murder and savagery will be avenged, referencing the biblical fourth horseman.
Wyatt Earp, a retired peace officer with a notable reputation, reunites with his brothers Virgil and Morgan in Tucson, Arizona, where they venture on toward Tombstone to settle down. There they encounter Wyatt's long-time friend Doc Holliday, who is seeking relief from his worsening tuberculosis. Josephine Marcus and Mr. Fabian are also newly arrived with a traveling theater troupe. Meanwhile, Wyatt's common-law wife, Mattie Blaylock, is becoming dependent on laudanum. Wyatt and his brothers begin to profit from a stake in a gambling emporium and saloon. It is in this saloon that they have their first encounter with the Cowboys, who are identifiable by the red sashes worn around their waists.
As tensions rise, Wyatt is pressured to help rid the town of the Cowboys, though he is no longer a lawman. After a visit to an opium den, Curly bill goes on an intoxicated shooting spree and is told by Marshal Fred White to relinquish his firearms. Curly Bill instead shoots the marshal dead, and is forcibly taken into custody by Wyatt. The arrest infuriates Ike Clanton and the other Cowboys. Curly Bill stands trial, but is found not guilty due to a lack of witnesses. Virgil, unable to tolerate lawlessness, becomes the new marshal and imposes a weapons ban within the city limits. This leads to a gunfight at the O.K. Corral, in which Billy Clanton, Tom McLaury, and Frank McLaury are killed. Virgil and Morgan are wounded, and the allegiance of county sheriff Johnny Behan with the Cowboys is made clear. As retribution for the Cowboy deaths, Wyatt's brothers are ambushed; Morgan is killed, while Virgil is left handicapped. A despondent Wyatt and his family leave Tombstone and board a train, with Ike Clanton and Frank Stilwell close behind, preparing to ambush them. Wyatt sees that his family leaves safely, and then surprises the assassins. He kills Stilwell, but lets Clanton live to send a message: Wyatt announces that he is a U.S. marshal, and that he intends to kill any man he sees wearing a red sash. Wyatt, Doc, a reformed Cowboy named Sherman McMasters, Texas Jack Vermillion, and Turkey Creek Jack Johnson, form a posse to seek revenge.
Wyatt and his posse are ambushed in a riverside forest by the Cowboys. Wyatt walks into the creek, miraculously surviving the enemy fire, and kills Curly Bill along with many of his men. Curly Bill's second-in-command, Johnny Ringo, becomes the new head of the Cowboys. When Doc's health worsens, the group is accommodated by Henry Hooker at his ranch. Ringo sends a messenger (dragging McMasters' corpse) to tell Wyatt that he wants a showdown to end the hostilities; Wyatt agrees. Wyatt sets off for the showdown, not knowing that Doc had already arrived at the scene. Doc confronts a surprised Ringo and kills him in a duel. Wyatt runs when he hears the gunshot, only to encounter Doc. They then press on to complete their task of eliminating the Cowboys, although Clanton escapes their vengeance by renouncing his red sash. Doc is sent to a sanatorium in Colorado, where he later dies of his illness. At Doc's urging, Wyatt pursues Josephine to begin a new life."
555,true romance,1993,Crime|Thriller,"At a Detroit theater showing kung fu films, Alabama Whitman strikes up a conversation with Elvis Presley fanatic Clarence Worley. They later have sex at Clarence's apartment in downtown Detroit. Alabama tearfully confesses that she is a call girl hired by Clarence's boss as a birthday present but has fallen in love with Clarence. They marry.
An apparition of Elvis visits Clarence and convinces him to kill Alabama's pimp Drexl. Clarence goes to the brothel where Alabama worked, shoots and kills Drexl, and takes a bag he assumes contains Alabama's belongings. Back at the apartment, he and Alabama discover the bag contains a large amount of cocaine.
The couple visit Clarence's estranged father, Clifford, a former cop and now a security guard, for help. Clifford tells Clarence that the police assume Drexl's murder is a gang killing. After the couple leave for Los Angeles, Clifford is interrogated by Don Vincenzo Coccotti, consigliere to a mobster named ""Blue Lou Boyle"", who wants the drugs. Clifford, realizing he will die anyway, mockingly defies Coccotti. Infuriated, Coccotti shoots Clifford dead. A note on the refrigerator leads the mobsters to Clarence's Los Angeles address.
In Los Angeles, Clarence and Alabama meet Clarence's friend Dick, an aspiring actor. Dick introduces Clarence to a friend of his, actor Elliot Blitzer, who reluctantly agrees to broker the sale of the drugs to film producer Lee Donowitz. While Clarence is out buying lunch, Coccotti's underboss, Virgil, finds Alabama in her motel room and beats her for information. She fights back and kills him with his shotgun.
Elliot is pulled over for speeding and arrested for drug possession. To stay out of jail, he agrees to record the drug deal between Clarence and Donowitz for the police. Coccotti's crew learn where the deal will take place from Dick's roommate Floyd. Clarence, Alabama, Dick, and Elliot go to Donowitz's suite at the Ambassador Hotel with the drugs. In the elevator, a suspicious Clarence threatens Elliot at gunpoint, but is persuaded by Elliott's pleading.
Clarence fabricates a story for Donowitz that the drugs were given to him by a corrupt cop, and Donowitz agrees to the sale. Clarence excuses himself to the bathroom, where a vision of Elvis reassures him that things are going well. Donowitz and his bodyguards are ambushed by the cops and mobsters and a shootout begins after Elliott accidentally reveals himself as an informant. Dick abandons the drugs and flees. Almost everyone is killed in the gun battle, and Clarence is wounded as he exits the bathroom. He and Alabama escape with Donowitz's money as more police arrive. They flee to Mexico where Alabama gives birth to a son, whom she names Elvis."
